rentree_scolaire;UAI;departement;academie;region;patronyme;indice_eloignement
2021;0590182C;NORD;LILLE;HAUTS-DE-FRANCE;LYCÉE GÉNÉRAL BAUDELAIRE;96.5
2021;0593114P;NORD;LILLE;HAUTS-DE-FRANCE;LYCÉE GÉNÉRAL PRIVÉ SAINT PAUL;96.5
2021;0781856U;YVELINES;VERSAILLES;ILE-DE-FRANCE;LYCÉE PROFESSIONNEL PRIVÉ SAINT EREMBERT;96.5
2021;0931813R;SEINE-SAINT-DENIS;CRETEIL;ILE-DE-FRANCE;LYCÉE GÉNÉRAL PRIVÉ ALLIANCE;96.5
2021;0932653D;SEINE-SAINT-DENIS;CRETEIL;ILE-DE-FRANCE;SAINT JOSEPH LA SALLE;96.5
2021;0940115P;VAL-DE-MARNE;CRETEIL;ILE-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE ROMAIN ROLLAND;96.5
2021;0440024M;LOIRE-ATLANTIQUE;NANTES;PAYS DE LA LOIRE;LYCÉE GÉNÉRAL GABRIEL GUIST'HAU;96.6
2021;0650029D;HAUTES-PYRENEES;TOULOUSE;OCCITANIE;LYCÉE PROFESSIONNEL REFFYE;96.6
2021;0660011D;PYRENEES-ORIENTALES;MONTPELLIER;OCCITANIE;LYCÉE POLYVALENT JEAN LURCAT, LYCÉE DES MÉTIERS DES ARTS ET SERVICES AUX ORGANISATIONS;96.6
2021;0780273Y;YVELINES;VERSAILLES;ILE-DE-FRANCE;LYCÉE PROFESSIONNEL LOUIS BLÉRIOT, LYCÉE DES MÉTIERS DES SERVICES AUX ENTREPRISES, AUX COLLECTIVITÉS ET AUX PERSONNES;96.6
2021;0783282U;YVELINES;VERSAILLES;ILE-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PRIVÉ BLANCHE DE CASTILLE;96.6
2021;0940121W;VAL-DE-MARNE;CRETEIL;ILE-DE-FRANCE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE D'ARSONVAL;96.6
2021;0952208J;VAL-D'OISE;VERSAILLES;ILE-DE-FRANCE;ECOLE GÉNÉRALE ET TECHNOLOGIQUE PRIVÉE SAINT JOSEPH;96.6
2021;0220111B;COTES D'ARMOR;RENNES;BRETAGNE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PRIVÉ SAINT PIERRE;96.7
2021;0690712Z;RHONE;LYON;AUVERGNE-RHONE-ALPES;LYCÉE PROFESSIONNEL PRIVÉ SAINT LOUIS-SAINT BRUNO - LYCÉE DES MÉTIERS DU TERTIAIRE ADMINISTRATIF ET COMMERCIAL;96.7
2021;0750787Y;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE PROFESSIONNEL CORVISART-ARTS GRAPHIQUES;96.7
2021;0751708Z;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE POLYVALENT LOUIS ARMAND;96.7
2021;0880020U;VOSGES;NANCY-METZ;GRAND EST;LYCÉE GÉNÉRAL CLAUDE GELLÉE;96.7
2021;0920141D;HAUTS-DE-SEINE;VERSAILLES;ILE-DE-FRANCE;LYCÉE POLYVALENT JOLIOT-CURIE;96.7
2021;0922691A;HAUTS-DE-SEINE;VERSAILLES;ILE-DE-FRANCE;LYCÉE D'ENSEIGNEMENT GÉNÉRAL PRIVÉ HAUTEFEUILLE;96.7
2021;0060029Z;ALPES-MARITIMES;NICE;PROVENCE-ALPES-COTE D'AZUR;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE PARC IMPERIAL;96.8
2021;0260034W;DROME;GRENOBLE;AUVERGNE-RHONE-ALPES;LYCÉE GÉNÉRAL EMILE LOUBET;96.8
2021;0290013G;FINISTERE;RENNES;BRETAGNE;LYCÉE GÉNÉRAL ET TECHNOLOGIQUE JULES LESVEN;96.8
2021;0660014G;PYRENEES-ORIENTALES;MONTPELLIER;OCCITANIE;LYCÉE POLYVALENT PABLO PICASSO;96.8
2021;0755025E;PARIS;PARIS;ILE-DE-FRANCE;LYCÉE GÉNÉRAL PRIVÉ HEIKHAL MENAHEM SINAI;96.8
